SYMBOL ENSEMBL HOCOID
PAX2 ENSG00000075891 M03294.2.00.PAX2
POU1F1 ENSG00000064835 M03300.2.00.POU1F1
POU2F3 ENSG00000137709 M03306.2.00.POU2F3
POU4F2 ENSG00000151615 M03310.2.00.POU4F2
POU4F1 ENSG00000152192 M03312.2.00.POU4F1
POU3F2 ENSG00000184486 M03313.2.00.POU3F2
POU3F1 ENSG00000185668 M03315.2.00.POU3F1
POU3F3 ENSG00000198914 M03319.2.00.POU3F3
HSF4 ENSG00000102878 M03325.2.00.HSF4
HSFY2 ENSG00000169953 M03326.2.00.HSFY2
HSF1 ENSG00000185122 M03329.2.00.HSF1
IRF3 ENSG00000126456 M03331.2.00.IRF3
IRF5 ENSG00000128604 M03332.2.00.IRF5
IRF4 ENSG00000137265 M03334.2.00.IRF4
IRF8 ENSG00000140968 M03335.2.00.IRF8
IRF7 ENSG00000185507 M03337.2.00.IRF7
IRF9 ENSG00000213928 M03339.2.00.IRF9
MEF2A ENSG00000068305 M03340.2.00.MEF2A
SRF ENSG00000112658 M03341.2.00.SRF
MEF2D ENSG00000116604 M03343.2.00.MEF2D
MEF2B ENSG00000213999 M03344.2.00.MEF2B
MYBL2 ENSG00000101057 M03345.2.00.MYBL2
MYBL1 ENSG00000185697 M03349.2.00.MYBL1
RARB ENSG00000077092 M03355.2.00.RARB
ESR1 ENSG00000091831 M03356.2.00.ESR1
HNF4A ENSG00000101076 M03357.2.00.HNF4A
VDR ENSG00000111424 M03363.2.00.VDR
NR3C1 ENSG00000113580 M03366.2.00.NR3C1
ESRRB ENSG00000119715 M03367.2.00.ESRRB
THRA ENSG00000126351 M03368.2.00.THRA
RARA ENSG00000131759 M03369.2.00.RARA
THRB ENSG00000151090 M03379.2.00.THRB
NR4A2 ENSG00000153234 M03383.2.00.NR4A2
AR ENSG00000169083 M03389.2.00.AR
ESRRA ENSG00000173153 M03397.2.00.ESRRA
NR2F1 ENSG00000175745 M03403.2.00.NR2F1
NR2C2 ENSG00000177463 M03407.2.00.NR2C2
RXRA ENSG00000186350 M03408.2.00.RXRA
ESRRG ENSG00000196482 M03412.2.00.ESRRG
RXRB ENSG00000204231 M03415.2.00.RXRB
TP63 ENSG00000073282 M03437.2.00.TP63
PAX1 ENSG00000125813 M03442.2.00.PAX1
PAX5 ENSG00000196092 M03443.2.00.PAX5
PAX9 ENSG00000198807 M03444.2.00.PAX9
PROX1 ENSG00000117707 M03445.2.00.PROX1
NFKB2 ENSG00000077150 M03446.2.00.NFKB2
NFAT5 ENSG00000102908 M03447.2.00.NFAT5
NFKB1 ENSG00000109320 M03448.2.00.NFKB1
RFX4 ENSG00000111783 M03456.2.00.RFX4
RFX5 ENSG00000143390 M03458.2.00.RFX5
RUNX2 ENSG00000124813 M03468.2.00.RUNX2
GMEB2 ENSG00000101216 M03471.2.00.GMEB2
NFIX ENSG00000008441 M03475.2.00.NFIX
NFIB ENSG00000147862 M03479.2.00.NFIB
NFIA ENSG00000162599 M03480.2.00.NFIA
SMAD3 ENSG00000166949 M03482.2.00.SMAD3
SOX8 ENSG00000005513 M03483.2.00.SOX8
SOX10 ENSG00000100146 M03491.2.00.SOX10
SOX21 ENSG00000125285 M03497.2.00.SOX21
SOX15 ENSG00000129194 M03508.2.00.SOX15
LEF1 ENSG00000138795 M03511.2.00.LEF1
TCF7L1 ENSG00000152284 M03512.2.00.TCF7L1
SOX14 ENSG00000168875 M03513.2.00.SOX14
SOX7 ENSG00000171056 M03516.2.00.SOX7
SOX2 ENSG00000181449 M03519.2.00.SOX2
SOX18 ENSG00000203883 M03529.2.00.SOX18
TBX21 ENSG00000073861 M03546.2.00.TBX21
TBX15 ENSG00000092607 M03554.2.00.TBX15
TBX2 ENSG00000121068 M03556.2.00.TBX2
TBR1 ENSG00000136535 M03560.2.00.TBR1
TBX19 ENSG00000143178 M03562.2.00.TBX19
TBX20 ENSG00000164532 M03565.2.00.TBX20
TBX1 ENSG00000184058 M03570.2.00.TBX1
TEAD3 ENSG00000007866 M03575.2.00.TEAD3
TEAD1 ENSG00000187079 M03577.2.00.TEAD1
TEAD4 ENSG00000197905 M03579.2.00.TEAD4
NRF1 ENSG00000106459 M03580.2.00.NRF1
PGR ENSG00000082175 M03923.2.00.PGR
NR1I3 ENSG00000143257 M03924.2.00.NR1I3
NR1I2 ENSG00000144852 M03925.2.00.NR1I2
NFE2L1 ENSG00000082641 M04008.2.00.NFE2L1
ATF2 ENSG00000115966 M04017.2.00.ATF2
ATF6 ENSG00000118217 M04018.2.00.ATF6
CREB1 ENSG00000118260 M04022.2.00.CREB1
ATF3 ENSG00000162772 M04032.2.00.ATF3
FOSL1 ENSG00000175592 M04035.2.00.FOSL1
JUN ENSG00000177606 M04037.2.00.JUN
MAFB ENSG00000204103 M04040.2.00.MAFB
ATF6B ENSG00000213676 M04041.2.00.ATF6B
CEBPA ENSG00000245848 M04045.2.00.CEBPA
TFAP2E ENSG00000116819 M04050.2.00.TFAP2E
HES2 ENSG00000069812 M04060.2.00.HES2
SREBF1 ENSG00000072310 M04062.2.00.SREBF1
TCFL5 ENSG00000101190 M04074.2.00.TCFL5
USF2 ENSG00000105698 M04076.2.00.USF2
HES1 ENSG00000114315 M04090.2.00.HES1
HES4 ENSG00000188290 M04091.2.00.HES4
TCF21 ENSG00000118526 M04092.2.00.TCF21
MYOG ENSG00000122180 M04098.2.00.MYOG
